course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
BM6091_BS,http://data.europa.eu/esco/skill/fafe0b9d-dbd9-46bd-b770-26299539ce66,ICT process quality models,knowledge,0.258741,0.822886,0.628642,SECONDARY,MED,accepted,,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/f5dd06b8-5d17-4932-9d03-957d0c4f5051,perform resource planning,skill,0.554301,0.642632,0.616132,OPTIONAL,LOW,accepted,,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,attend to ICT systems quality,skill,0.259656,0.699477,0.542531,OPTIONAL,LOW,accepted,,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge;escoxlmr_skill
BM6091_BS,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,perform project management,skill,0.658632,0.922490,0.818332,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/1fcce318-3212-487a-ac07-4941bc85060d,carry out project activities,skill,0.587234,0.943397,0.811548,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247,manage project changes,skill,0.622137,0.905657,0.795601,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/3c76296d-4bbd-44ba-8eaa-95bf275f79b7,manage ICT project,skill,0.577083,0.781117,0.694907,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/94dd823c-148e-4614-a6e8-99249b16357d,ICT project management,knowledge,0.565936,0.768409,0.682667,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13,project configuration management,knowledge,0.661727,0.696257,0.660898,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,apply change management,skill,0.302994,0.782615,0.613729,low_confidence,LOW,rejected,WEAK_RETRIEVAL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/da6393d5-a53c-4863-abc7-51f36281d74e,lean project management,knowledge,0.633768,0.542691,0.545014,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,knowledge,0.607015,0.524985,0.524594,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/c241f5a5-e23f-47bf-ad24-d83ea0010166,ensure proper document management,skill,0.358264,0.593510,0.497936,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38;BM6091_BS_BAIHOC_L31,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/d5a59ca8-2e91-472e-8571-d12ce4478679,Process-based management,knowledge,0.583869,0.339157,0.387570,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
