course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
BS6054_BS,http://data.europa.eu/esco/skill/31c69100-b612-4a61-8db5-fd314318854c,execute analytical mathematical calculations,skill,0.152864,0.959454,0.717477,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L11;BS6054_BS_BAIHOC_L15;BS6054_BS_BAIHOC_L16,escoxlmr_skill;escoxlmr_knowledge
BS6054_BS,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,perform data analysis,skill,0.179326,0.934477,0.707932,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L12;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L18;BS6054_BS_BAIHOC_L19,escoxlmr_skill;escoxlmr_knowledge
BS6054_BS,http://data.europa.eu/esco/skill/561c2525-5bd8-4d86-8f45-820f4be7db93,report test findings,skill,0.137172,0.955803,0.710214,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L18,escoxlmr_skill
BS6054_BS,http://data.europa.eu/esco/skill/f2d57f41-43b4-4f5b-8100-3df5c21eda50,process data,skill,0.137190,0.932320,0.693781,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L11;BS6054_BS_BAIHOC_L12,escoxlmr_knowledge;escoxlmr_skill
BS6054_BS,http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700,data quality assessment,knowledge,0.138744,0.927291,0.665727,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L12;BS6054_BS_BAIHOC_L16,escoxlmr_skill
BS6054_BS,http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3,quantitative analysis,knowledge,0.137269,0.884345,0.635223,PRIMARY,HIGH,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L11;BS6054_BS_BAIHOC_L16,escoxlmr_skill;escoxlmr_knowledge
BS6054_BS,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,data engineering,knowledge,0.231047,0.823280,0.620610,SECONDARY,MED,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L11;BS6054_BS_BAIHOC_L12;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L19,escoxlmr_knowledge;escoxlmr_skill
BS6054_BS,http://data.europa.eu/esco/skill/f6ac6241-adb2-4ce2-b35f-09832cbb11ea,empirical analysis,knowledge,0.136675,0.857206,0.616047,SECONDARY,MED,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L18;BS6054_BS_BAIHOC_L19,escoxlmr_skill;escoxlmr_knowledge
BS6054_BS,http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill,0.123609,0.811724,0.605289,SECONDARY,MED,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L18,escoxlmr_knowledge;escoxlmr_skill
BS6054_BS,http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8,perform data cleansing,skill,0.124197,0.818195,0.609996,SECONDARY,MED,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L12;BS6054_BS_BAIHOC_L18;BS6054_BS_BAIHOC_L19,escoxlmr_skill;escoxlmr_knowledge
BS6054_BS,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,data science,knowledge,0.127787,0.789310,0.565853,SECONDARY,MED,accepted,,BS6054_BS_MOTA_MAIN;BS6054_BS_CLO_None;BS6054_BS_BAIHOC_L12;BS6054_BS_BAIHOC_L16;BS6054_BS_BAIHOC_L19,escoxlmr_knowledge;escoxlmr_skill
