course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
IT6207,http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703,perform business analysis,skill,0.138058,0.995814,0.738487,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,skill,0.143363,0.992025,0.737427,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,manage schedule of tasks,skill,0.114625,0.992713,0.729287,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_CLO_L1;IT6207_CLO_L3;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/1fcce318-3212-487a-ac07-4941bc85060d,carry out project activities,skill,0.099270,0.995741,0.726800,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/7e1f9657-ab4e-407c-842f-b846197060e3,execute ICT audits,skill,0.082342,0.995536,0.721578,PRIMARY,HIGH,accepted,,IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_knowledge;escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e,design information system,skill,0.080497,0.991032,0.717871,PRIMARY,HIGH,accepted,,IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L2;IT6207_BAIHOC_L07,escoxlmr_knowledge;escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/1b3fc0e0-c6f9-45fc-9c6e-14bbba662979,develop information standards,skill,0.101342,0.986202,0.720744,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/e207163b-7963-4c3e-9494-7a4bb000211b,estimate duration of work,skill,0.108962,0.981665,0.719854,PRIMARY,HIGH,accepted,,IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L07;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/b9bf9e17-ae47-417b-bbb1-e8b7c263ccac,identify legal requirements,skill,0.091967,0.985625,0.717528,PRIMARY,HIGH,accepted,,IT6207_MUCTIEU_MT2;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digital communication and collaboration,skill,0.084608,0.979106,0.710757,PRIMARY,HIGH,accepted,,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_CLO_L3,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/9bb7a97a-1a16-431e-8ea6-ad0f9f59aa0a,control objectives for information and related technology,knowledge,0.081217,0.995713,0.721364,low_confidence,LOW,rejected,FRAMEWORK_WITHOUT_EXPLICIT_TEACHING,IT6207_MUCTIEU_MT1;IT6207_CLO_L1;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_knowledge;escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/e8f80ec5-c423-4eb2-9f0f-805d22f844ae,incidents and accidents recording,knowledge,0.099475,0.985447,0.719656,low_confidence,LOW,rejected,DOMAIN_BLOCK,IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07;IT6207_BAIHOC_L10,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/e54ff029-1ce9-447d-a5b2-eb7283a23e6e,train employees,skill,0.078254,,0.078254,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092,analyse ICT system,skill,0.077866,,0.052866,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07,escoxlmr_knowledge;escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/751941a0-5645-4f8b-b97e-b252909d5edb,develop ICT workflow,skill,0.076911,,0.076911,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/7af6e9e8-1e11-4c0b-b7c6-ac96bbbbc674,coordinate engineering teams,skill,0.076207,,0.076207,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/2c28fc20-8a60-4311-8899-5ef8729c05b3,design process,skill,0.075508,,0.050508,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_CLO_L1;IT6207_BAIHOC_L07;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09,escoxlmr_skill;escoxlmr_knowledge
IT6207,http://data.europa.eu/esco/skill/9190d87f-9792-42e0-bb7f-64294a656bcd,monitor system performance,skill,0.074534,,0.049534,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MUCTIEU_MT1;IT6207_MUCTIEU_MT2;IT6207_CLO_L2;IT6207_CLO_L3;IT6207_BAIHOC_L07,escoxlmr_knowledge;escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/af8ca5cf-7fd1-4275-a886-e951c335d497,assist multimedia operator,skill,0.074402,,0.074402,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_CLO_L1;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/43b13058-68d0-40c6-8031-caf5a7b7d20c,keep task records,skill,0.073242,,0.073242,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MUCTIEU_MT2;IT6207_CLO_L1;IT6207_BAIHOC_L07;IT6207_BAIHOC_L08;IT6207_BAIHOC_L09;IT6207_BAIHOC_L10,escoxlmr_skill
IT6207,http://data.europa.eu/esco/skill/ec6df9cb-be92-4027-80fa-83b70aabce58,industrial research and development,knowledge,0.072337,,0.047337,low_confidence,LOW,rejected,below_overflow_threshold,IT6207_MOTA_MAIN;IT6207_MUCTIEU_MT1;IT6207_CLO_L1;IT6207_BAIHOC_L10,escoxlmr_skill;escoxlmr_knowledge
