course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
SC6211,http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,object-oriented modelling,knowledge,0.488431,0.989290,0.839032,PRIMARY,HIGH,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_BAIHOC_L13;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,use object-oriented programming,skill,0.452577,0.957432,0.780975,PRIMARY,HIGH,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,knowledge,0.314973,0.969577,0.773196,PRIMARY,HIGH,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L4,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,use concurrent programming,skill,0.201828,0.897685,0.688928,PRIMARY,HIGH,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_BAIHOC_L15,escoxlmr_skill;escoxlmr_knowledge
SC6211,http://data.europa.eu/esco/skill/4959697d-3a24-4f46-af0c-b752318e6c54,ObjectStore,knowledge,0.271372,0.832299,0.639021,SECONDARY,MED,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_CLO_L4,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,web programming,knowledge,0.271530,0.772549,0.622243,SECONDARY,MED,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),knowledge,0.244105,0.654847,0.506625,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L4;SC6211_BAIHOC_L15,escoxlmr_skill;escoxlmr_knowledge
SC6211,http://data.europa.eu/esco/skill/d31fab87-2a7d-485c-b699-2901ca294b15,use functional programming,skill,0.295661,0.553225,0.450955,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_CLO_L4;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/b0096dc5-2e2d-4bc1-8172-05bf486c3968,design application interfaces,skill,0.290091,0.487775,0.428470,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_CLO_L4;SC6211_BAIHOC_L13;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),knowledge,0.232733,0.530965,0.416496,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L4,escoxlmr_skill;escoxlmr_knowledge
SC6211,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,use logic programming,skill,0.253943,0.480546,0.387565,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_BAIHOC_L15,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/9973a5a2-7822-4161-99e9-95c781eb63f8,Objective-C,knowledge,0.281402,0.455422,0.378216,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3,escoxlmr_skill;escoxlmr_knowledge
SC6211,http://data.europa.eu/esco/skill/7d10fcb2-b368-48ab-996b-7c9fafcf68ed,use automatic programming,skill,0.285190,0.407166,0.370573,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2;SC6211_CLO_L3;SC6211_CLO_L4,escoxlmr_knowledge;escoxlmr_skill
SC6211,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),knowledge,0.218824,0.458324,0.361474,OPTIONAL,LOW,accepted,,SC6211_MOTA_MAIN;SC6211_MUCTIEU_MT1;SC6211_MUCTIEU_MT2;SC6211_MUCTIEU_MT3;SC6211_CLO_L1;SC6211_CLO_L2,escoxlmr_skill;escoxlmr_knowledge
