conceptType,conceptUri,iscoGroup,preferredLabel,job_title_vi,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,3512,ICT help desk agent,Chuyên viên hỗ trợ IT (Helpdesk),"IT support technician
IT help desk agent
ICT service desk agent
ICT helpdesk agent
ICT help desk advisor
IT help desk advisor",,released,2024-02-06T13:42:15.025Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT help desk agents provide technical assistance to computer users, answer questions or solve computer problems for clients via telephone or electronically. They provide assistance concerning the use of computer hardware and software.",3512.1,http://data.europa.eu/ux2/nace2.1/622
Occupation,http://data.europa.eu/esco/occupation/custom-131b0da6f37960dcc29a3f2147b5bb4d,2512,IoT developer,Lập trình viên IoT,IoT software developer,,released,2023-10-24T09:07:26.122Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","IoT developers analyse and gather data for interpreting the pattern and predicting the result. They use artificial intelligence for managing the tasks and autonomous decisions, employing machine learning algorithms to create smarter devices through data sensors. IoT developers create software for connecting objects to systems and devices, or for programming these objects to make them function on their own.",2512.9,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622,
http://data.europa.eu/ux2/nace2.1/629"
Occupation,http://data.europa.eu/esco/occupation/custom-1d851aa001c3830abea522cf92881469,3512,ICT technician,Kỹ thuật viên CNTT,"computer operator
IT officer
IT technician
IT assistant
information systems technician
ICT engineer
IT engineer",,released,2023-08-07T09:04:30.835Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT technicians install, maintain, repair and operate information systems and any ICT related equipment (laptops, desktops, servers, tablets, smart phones, communications equipment, printers and any piece of computer related peripheral networks), and any type of software (drivers, operating systems, applications).",3512.4,http://data.europa.eu/ux2/nace2.1/951
Occupation,http://data.europa.eu/esco/occupation/custom-216e36cad1abe99fcce44284bd17664b,2521,database administrator,Quản trị viên cơ sở dữ liệu,"data base administrators
database administrators
data administrator
DBA
database configurator
data base administrator
data manager
database manager",,released,2024-01-26T11:25:34.264Z,http://data.europa.eu/esco/regulated-professions/unregulated,Includes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs.",2521.1,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/631"
Occupation,http://data.europa.eu/esco/occupation/custom-2500bfa1af50999077951fddcde1818e,1330,ICT project manager,Quản lý dự án CNTT,"IT projects manager
web project manager
scrum master
IT project manager
blockchain manager",,released,2024-01-16T14:28:13.265Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT project managers schedule, control and direct the resources, people, funding and facilities to achieve the objectives of ICT projects. They establish budgets and timelines, perform risk analysis and quality management, and complete project closure reports.",1330.7,http://data.europa.eu/ux2/nace2.1/63
Occupation,http://data.europa.eu/esco/occupation/custom-268bda0e06719c29759fa603c5296638,2511,enterprise architect,Kiến trúc sư giải pháp / Doanh nghiệp,"enterprise architects
enterprise developer
enterprise architecture manager
enterprise designer",,released,2024-01-16T14:35:47.062Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Enterprise architects balance technological opportunities with business requirements. They also maintain a holistic view of the organisation's strategy, processes, information and ICT assets and link the business mission, strategy and processes to the ICT strategy.",2511.6,"http://data.europa.eu/ux2/nace2.1/622,
http://data.europa.eu/ux2/nace2.1/631"
Occupation,http://data.europa.eu/esco/occupation/custom-2ccfd8da5865c68a67a7177ed6976939,2522,ICT system administrator,Quản trị viên hệ thống CNTT,"sysadmin
IT system administrator
IT systems administrator
server administrator
network administrator
system and networks administrator
system and network administrator
ICT sysadmin
ICT sysadmins
enterprise administrator",,released,2023-11-29T14:36:06.986Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing managerial activities. Includes people performing inventory activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT system administrators are responsible for the upkeep, configuration, and reliable operation of computer and network systems, servers, workstations and peripheral devices. They may acquire, install, or upgrade computer components and software; automate routine tasks; write computer programs; troubleshoot; train and supervise staff; and provide technical support. They ensure optimum system integrity, security, backup and performance.",2522.1,"http://data.europa.eu/ux2/nace2.1/631,
http://data.europa.eu/ux2/nace2.1/629"
Occupation,http://data.europa.eu/esco/occupation/custom-340f324755dbe1655ca18f1b0afb13f1,2514,embedded systems software developer,Lập trình viên hệ thống nhúng,"embedded systems software developers
embedded software developerl embedded systems engineer
embedded systems designer
embedded system software programmer
embedded software programmer
embedded system software developer",,released,2024-01-26T09:54:35.3Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.",2514.2.1,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-59f56cd1af81e9b2233da75efa98a0bc,2522,Network Engineer/Administrator,Kỹ sư / Quản trị viên mạng,"network manager
network specialist
network administrators
network support
networks administrator | networks designer
networks developer
network configurator
network developer
network engineers
networks engineer",,released,2024-01-26T15:33:37.474Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,Includes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT network administrators maintain operation of a reliable, secure, and efficient data communications network, including LAN, WAN, intranet, and internet. They perform network address assignment, management and implementation of routing protocols such as ISIS, OSPF, BGP, routing table configurations and certain implementations of authentication. They perform maintenance and administration of servers (file servers, VPN gateways, intrusion detection systems), desktop computers, printers, routers, switches, firewalls, phones, IP communications, personal digital assistants, smartphones, software deployment, security updates and patches as well as a vast array of additional technologies inclusive of both hardware and software. | ICT network engineers implement, maintain and support computer networks. They also perform network modelling, analysis, and planning. They may also design network and computer security measures. They may research and recommend network and data communications hardware and software.","2523.3,2522.1.1",http://data.europa.eu/ux2/nace2.1/629
Occupation,http://data.europa.eu/esco/occupation/custom-5a5ab3fff38ed245ecc051e3ae9e8676,2511,data scientist,Nhà khoa học dữ liệu,"data expert
research data scientist
data research scientist
electromobility data scientist",,released,2025-04-11T11:38:25.534Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing engineering and programming activities. Excludes people performing managerial and general focus research activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations","Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.",2511.4,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
