occupationUri,skillUri,relationType,skillType
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/118efbcd-8fc5-4668-81d1-c383a0d16070,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/1585fc98-bfe4-461f-97fc-734055a2c3ce,essential,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/38da3c60-4b7c-4698-9256-574e4ee4e93b,optional,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/43b13058-68d0-40c6-8031-caf5a7b7d20c,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/5a0bffcf-4ff6-49cf-a7db-4142e63f5f04,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/61970f8b-099c-4e7e-82e0-9ccdced0baf3,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/6430eb0d-c6de-46b7-a7fc-3dd2e8e62a69,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/6474fc36-67ae-436b-9d39-c14402c6a89b,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/6aef2baa-5fa7-4c16-bd28-3e070ec4e4df,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/778ca7ad-6c5d-4868-9b96-a7777dca799c,optional,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/946c1229-1171-40d4-82cc-fe3f483ca100,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/9889b795-d755-41b2-8afd-2e3c87a65a38,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/9e06bac6-6b91-48ca-8b7d-c1f48cdecd7c,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/a56dec32-05ef-45de-a256-ee6741f356db,optional,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/acf0a78c-f4e3-4bd9-a5cc-9cf4791b3b95,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/bb2b4485-2bad-402f-8517-44bf7d9afff4,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/c2296e2e-5fef-4f24-a24f-e5b3792268be,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/ca73ac82-867a-4afa-9732-834aebe896ff,essential,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/d0c6d77e-cb25-4770-bf77-2073fc5f7523,optional,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd,essential,knowledge
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/db36f7f1-5900-45bd-9ffb-f2b19c4362ac,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/debb8d81-ed7f-447d-853a-5d107fda6fcf,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/f642d7ed-e8d7-4355-a747-b85094d4e2e3,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-1127df9fe118a874ac895126e1b83233,http://data.europa.eu/esco/skill/fb3bc9b5-2297-4bba-85b1-60f696a92db8,essential,knowledge
http://data.europa.eu/esco/occupation/custom-131b0da6f37960dcc29a3f2147b5bb4d,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,optional,skill/competence
http://data.europa.eu/esco/occupation/custom-131b0da6f37960dcc29a3f2147b5bb4d,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,essential,skill/competence
http://data.europa.eu/esco/occupation/custom-131b0da6f37960dcc29a3f2147b5bb4d,http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec,optional,skill/competence
