lesson_id,so_thu_tu,ten_bai,noi_dung_tom_tat
BM6001_L1,1,Chương 1: Đại cương về kinh tế học,
BM6001_L2,2,Bài 1: Khái quát về kinh tế học,
BM6001_L3,3,Bài 2: Các quy luật kinh tế cơ bản,
BM6001_L4,4,Chương 2: Cung – Cầu,
BM6001_L5,5,Chương 3: Hành vi Người tiêu dùng – Người sản xuất,
BM6001_L6,6,Bài 3: Cầu,
BM6001_L7,7,Bài 4: Cung,
BM6001_L8,8,Chương 4: Một số chỉ tiêu kinh tế vĩ mô cơ bản,
BM6001_L9,9,Bài 5: Cân bằng cung - cầu,
BM6001_L10,10,Bài 6: Sự can thiệp của chính phủ vào thị trường,
BM6001_L11,11,Bài 7: Sở thích tiêu dùng và đường bàng quan.,
BM6001_L12,12,Bài 8: Ràng buộc ngân sách/ Bài Kiểm tra thường xuyên 1,
BM6001_L13,13,Bài 9: Tiêu dùng tối ưu,
BM6001_L14,14,Bài 10: Lý thuyết về sản xuất,
BM6001_L15,15,Bài 11: Lý thuyết về chi phí,
BM6001_L16,16,"Bài 12: Lý thuyết doanh thu, lợi nhuận",
BM6001_L17,17,"Bài 13: Hệ thống, mục tiêu và công cụ kinh tế vĩ mô",
BM6001_L18,18,Bài 14: Các chỉ tiêu đo lường sản lượng quốc gia /Bài Kiểm tra thường xuyên 2,
BM6001_L19,19,"Bài 15: Mối quan hệ giữa tăng trưởng, lạm phát và thất nghiệp",
BM6001_L20,20,Chương 1: Đại cương về kinh tế học,
BM6001_L21,21,Bài 1: Khái quát về kinh tế học,
BM6001_L22,22,Bài 2: Các quy luật kinh tế cơ bản,
BM6001_L23,23,Chương 2: Cung – Cầu,
BM6001_L24,24,Chương 3: Hành vi Người tiêu dùng – Người sản xuất,
BM6001_L25,25,Bài 3: Cầu,
BM6001_L26,26,Bài 4: Cung,
BM6001_L27,27,Chương 4: Một số chỉ tiêu kinh tế vĩ mô cơ bản,
BM6001_L28,28,Bài 5: Cân bằng cung - cầu,
BM6001_L29,29,Bài 6: Sự can thiệp của chính phủ vào thị trường,
BM6001_L30,30,Bài 7: Sở thích tiêu dùng và đường bàng quan.,
BM6001_L31,31,Bài 8: Ràng buộc ngân sách/ Bài Kiểm tra thường xuyên 1,
BM6001_L32,32,Bài 9: Tiêu dùng tối ưu,
BM6001_L33,33,Bài 10: Lý thuyết về sản xuất,
BM6001_L34,34,Bài 11: Lý thuyết về chi phí,
BM6001_L35,35,"Bài 12: Lý thuyết doanh thu, lợi nhuận",
BM6001_L36,36,"Bài 13: Hệ thống, mục tiêu và công cụ kinh tế vĩ mô",
BM6001_L37,37,Bài 14: Các chỉ tiêu đo lường sản lượng quốc gia /Bài Kiểm tra thường xuyên 2,
BM6001_L38,38,"Mối quan hệ giữa tăng trưởng, lạm phát và thất nghiệp",
BM6091_L1,1,Một số vấn đề về dự án,
BM6091_L2,2,Khái quát về dự án,
BM6091_L3,3,Nội dung công tác quản lý dự án,
BM6091_L4,4,Nội dung phân tích dự án,
BM6091_L5,5,Một số vấn đề về Quản lý dự án,
BM6091_L6,6,Mạng công việc,
BM6091_L7,7,Các công cụ kỹ thuật quản lý thời gian và tiến độ dự án,
BM6091_L8,8,Các mô hình quản lý dự án,
BM6091_L9,9,Giám đốc quản lý dự án,
BM6091_L10,10,Phân phối nguồn lực cho dự án,
BM6091_L11,11,Quản lý chi phí dự án,
BM6091_L12,12,Biểu đồ PERT,
BM6091_L13,13,Quản lý chất lượng dự án,
BM6091_L14,14,Biểu đồ GANTT,
BM6091_L15,15,Biểu đồ phụ tải nguồn lực,
BM6091_L16,16,"Khái niệm, tác dụng và đặc điểm của dự toán ngân sách",
BM6091_L17,17,Chất lượng và quản lý chất lượng dự án,
BM6091_L18,18,Nội dung quản lý chất lượng dự án,
BM6091_L19,19,Ôn tập về quản lý dự án,
BM6091_L20,20,Một số vấn đề về dự án,
BM6091_L21,21,Khái quát về dự án,
BM6091_L22,22,Nội dung công tác quản lý dự án,
BM6091_L23,23,Nội dung phân tích dự án,
BM6091_L24,24,Một số vấn đề về Quản lý dự án,
BM6091_L25,25,Mạng công việc,
