clo_id,ma_cdr_goc,noi_dung,pi_so,muc_do
BM6001_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, quy luật kinh tế cốt lõi và các vấn đề về sự khan hiếm nguồn lực trong nền kinh tế.",,
BM6001_CLO2,CLO2,"Giải thích và phân tích được lý thuyết cung – cầu, sự cân bằng thị trường và tác động từ sự can thiệp của chính phủ vào thị trường.",,
BM6001_CLO3,CLO3,"Vận dụng lý thuyết về hành vi người tiêu dùng, lý thuyết sản xuất và lý thuyết chi phí để đưa ra các quyết định tối ưu trong kinh doanh.",,
BM6001_CLO4,CLO4,"Mô tả và tính toán được các chỉ tiêu đo lường kinh tế vĩ mô cơ bản như GDP, GNP và mối quan hệ giữa tăng trưởng, lạm phát, thất nghiệp.",,
BM6001_CLO5,CLO5,Đánh giá và giải thích được tác động của các biến động kinh tế vĩ mô đến hoạt động sản xuất kinh doanh của doanh nghiệp.,,
BM6001_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, quy luật kinh tế cốt lõi và các vấn đề về sự khan hiếm nguồn lực trong nền kinh tế.",,
BM6001_CLO2,CLO2,"Giải thích và phân tích được lý thuyết cung – cầu, sự cân bằng thị trường và tác động từ sự can thiệp của chính phủ vào thị trường.",,
BM6001_CLO3,CLO3,"Vận dụng lý thuyết về hành vi người tiêu dùng, lý thuyết sản xuất và lý thuyết chi phí để đưa ra các quyết định tối ưu trong kinh doanh.",,
BM6001_CLO4,CLO4,"Mô tả và tính toán được các chỉ tiêu đo lường kinh tế vĩ mô cơ bản như GDP, GNP và mối quan hệ giữa tăng trưởng, lạm phát, thất nghiệp.",,
BM6001_CLO5,CLO5,Đánh giá và giải thích được tác động của các biến động kinh tế vĩ mô đến hoạt động sản xuất kinh doanh của doanh nghiệp.,,
BM6091_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, đặc điểm của dự án và nội dung công tác quản lý dự án trong các tổ chức.",,
BM6091_CLO2,CLO2,"Phân tích và áp dụng được các mô hình tổ chức đội ngũ, vai trò và trách nhiệm của giám đốc quản lý dự án.",,
BM6091_CLO3,CLO3,"Sử dụng thành thạo các công cụ kỹ thuật như mạng công việc, biểu đồ PERT, biểu đồ GANTT để lập và quản lý thời gian, tiến độ dự án.",,
BM6091_CLO4,CLO4,"Thực hiện phân phối nguồn lực, lập dự toán ngân sách và quản lý chi phí dự án hiệu quả.",,
BM6091_CLO5,CLO5,"Đánh giá và áp dụng các tiêu chuẩn, nội dung quản lý chất lượng dự án nhằm đảm bảo đạt được các mục tiêu đề ra.",,
BM6091_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, đặc điểm của dự án và nội dung công tác quản lý dự án trong các tổ chức.",,
BM6091_CLO2,CLO2,"Phân tích và áp dụng được các mô hình tổ chức đội ngũ, vai trò và trách nhiệm của giám đốc quản lý dự án.",,
BM6091_CLO3,CLO3,"Sử dụng thành thạo các công cụ kỹ thuật như mạng công việc, biểu đồ PERT, biểu đồ GANTT để lập và quản lý thời gian, tiến độ dự án.",,
BM6091_CLO4,CLO4,"Thực hiện phân phối nguồn lực, lập dự toán ngân sách và quản lý chi phí dự án hiệu quả.",,
BM6091_CLO5,CLO5,"Đánh giá và áp dụng các tiêu chuẩn, nội dung quản lý chất lượng dự án nhằm đảm bảo đạt được các mục tiêu đề ra.",,
BS6001_L1,L1,Trình bày được các kiến thức cơ bản. Giải được các bài toán cơ bản của Đại số tuyến tính.,,
BS6001_L2,L2,"Nhận dạng, phân loại được các bài toán. Vận dụng các kiến thức để giải được các bài tập có liên quan",,
BS6001_L1,L1,Trình bày được các kiến thức cơ bản. Giải được các bài toán cơ bản của Đại số tuyến tính.,,
BS6001_L2,L2,"Nhận dạng, phân loại được các bài toán. Vận dụng các kiến thức để giải được các bài tập có liên quan",,
BS6018_CLO1,CLO1,"Hiểu rõ bản chất, chức năng, vai trò của giao tiếp và các hình thức, phương tiện, phong cách giao tiếp thường gặp trong môi trường công sở.",,
BS6018_CLO2,CLO2,"Nhận diện và phân tích được các yếu tố ảnh hưởng đến giao tiếp trong môi trường làm việc đa văn hóa, đa tôn giáo và đa thế hệ.",,
BS6018_CLO3,CLO3,Thực hiện thành thạo các kỹ năng cốt lõi trong giao tiếp gồm kỹ năng lắng nghe và kỹ năng đặt câu hỏi để thấu hiểu và thu thập thông tin hiệu quả.,,
BS6018_CLO4,CLO4,"Vận dụng các kỹ năng xử lý, giải quyết xung đột và kỹ năng viết báo cáo để giải quyết các vấn đề phát sinh trong công việc.",,
BS6018_CLO5,CLO5,Thiết lập và duy trì các mối quan hệ giao tiếp chuyên nghiệp với đồng nghiệp và đối tác thông qua kỹ năng diễn thuyết thuyết phục trong công việc.,,
BS6018_CLO1,CLO1,"Hiểu rõ bản chất, chức năng, vai trò của giao tiếp và các hình thức, phương tiện, phong cách giao tiếp thường gặp trong môi trường công sở.",,
BS6018_CLO2,CLO2,"Nhận diện và phân tích được các yếu tố ảnh hưởng đến giao tiếp trong môi trường làm việc đa văn hóa, đa tôn giáo và đa thế hệ.",,
BS6018_CLO3,CLO3,Thực hiện thành thạo các kỹ năng cốt lõi trong giao tiếp gồm kỹ năng lắng nghe và kỹ năng đặt câu hỏi để thấu hiểu và thu thập thông tin hiệu quả.,,
BS6018_CLO4,CLO4,"Vận dụng các kỹ năng xử lý, giải quyết xung đột và kỹ năng viết báo cáo để giải quyết các vấn đề phát sinh trong công việc.",,
BS6018_CLO5,CLO5,Thiết lập và duy trì các mối quan hệ giao tiếp chuyên nghiệp với đồng nghiệp và đối tác thông qua kỹ năng diễn thuyết thuyết phục trong công việc.,,
BS6019_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, tổng quan về nghiên cứu khoa học và quy trình thực hiện một nghiên cứu khoa học chuẩn mực.",,
BS6019_CLO2,CLO2,Vận dụng được các phương pháp nghiên cứu định tính và định lượng vào việc xác định chủ đề và thiết kế đề cương nghiên cứu khoa học.,,
BS6019_CLO3,CLO3,"Thực hiện được việc thu thập, xử lý và phân tích dữ liệu định tính và định lượng thu được trong quá trình nghiên cứu.",,
BS6019_CLO4,CLO4,"Soạn thảo và viết hoàn chỉnh báo cáo nghiên cứu khoa học, tiểu luận hoặc đồ án/khóa luận tốt nghiệp theo đúng cấu trúc quy định.",,
BS6019_CLO5,CLO5,Thuyết trình và bảo vệ thành công kết quả nghiên cứu khoa học trước hội đồng hoặc tập thể.,,
BS6019_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, tổng quan về nghiên cứu khoa học và quy trình thực hiện một nghiên cứu khoa học chuẩn mực.",,
BS6019_CLO2,CLO2,Vận dụng được các phương pháp nghiên cứu định tính và định lượng vào việc xác định chủ đề và thiết kế đề cương nghiên cứu khoa học.,,
BS6019_CLO3,CLO3,"Thực hiện được việc thu thập, xử lý và phân tích dữ liệu định tính và định lượng thu được trong quá trình nghiên cứu.",,
BS6019_CLO4,CLO4,"Soạn thảo và viết hoàn chỉnh báo cáo nghiên cứu khoa học, tiểu luận hoặc đồ án/khóa luận tốt nghiệp theo đúng cấu trúc quy định.",,
BS6019_CLO5,CLO5,Thuyết trình và bảo vệ thành công kết quả nghiên cứu khoa học trước hội đồng hoặc tập thể.,,
BS6020_CLO1,CLO1,"Trình bày được bản chất, các thuộc tính, nội dung, hình thức và nguyên tắc cơ bản của quan hệ lao động.",,
BS6020_CLO2,CLO2,Phân tích được vai trò của các chủ thể và các nhân tố kinh tế - xã hội ảnh hưởng đến quan hệ lao động và việc làm.,,
BS6020_CLO3,CLO3,"Vận dụng được các quy định và cơ chế về hợp đồng lao động, đối thoại xã hội và thương lượng tập thể trong thực tiễn doanh nghiệp.",,
BS6020_CLO4,CLO4,"Đánh giá được thực trạng việc làm, các giải pháp giải quyết việc làm và tham khảo mô hình quan hệ lao động của một số nước trên thế giới.",,
BS6020_CLO5,CLO5,Thực hiện thành thạo quy trình phỏng vấn xin việc và đáp ứng các yêu cầu của thị trường lao động hiện đại.,,
BS6020_CLO1,CLO1,"Trình bày được bản chất, các thuộc tính, nội dung, hình thức và nguyên tắc cơ bản của quan hệ lao động.",,
BS6020_CLO2,CLO2,Phân tích được vai trò của các chủ thể và các nhân tố kinh tế - xã hội ảnh hưởng đến quan hệ lao động và việc làm.,,
BS6020_CLO3,CLO3,"Vận dụng được các quy định và cơ chế về hợp đồng lao động, đối thoại xã hội và thương lượng tập thể trong thực tiễn doanh nghiệp.",,
BS6020_CLO4,CLO4,"Đánh giá được thực trạng việc làm, các giải pháp giải quyết việc làm và tham khảo mô hình quan hệ lao động của một số nước trên thế giới.",,
BS6020_CLO5,CLO5,Thực hiện thành thạo quy trình phỏng vấn xin việc và đáp ứng các yêu cầu của thị trường lao động hiện đại.,,
BS6021_CLO1,CLO1,"Trình bày được các khái niệm cơ bản về môi trường, mối quan hệ giữa con người, hệ sinh thái và các dạng tài nguyên thiên nhiên (đất, nước, năng lượng, khoáng sản, rừng và sinh vật).",,
BS6021_CLO2,CLO2,"Phân tích được thực trạng các vấn đề môi trường toàn cầu và hiện trạng ô nhiễm môi trường (đất, nước, không khí) ở Việt Nam dưới tác động của công nghiệp hóa, đô thị hóa và các hoạt động của con người.",,
BS6021_CLO3,CLO3,Vận dụng được các cách tiếp cận về bảo vệ môi trường và phát triển bền vững để giải quyết các vấn đề thực tiễn liên quan đến khai thác tài nguyên và quản lý chất thải.,,
BS6021_CLO4,CLO4,"Đề xuất được các biện pháp cụ thể và khả thi nhằm bảo vệ môi trường, bảo tồn tài nguyên thiên nhiên tại địa phương hoặc trong đời sống hằng ngày.",,
BS6021_CLO5,CLO5,"Thể hiện thái độ trách nhiệm, chủ động và tích cực tham gia các hoạt động bảo vệ môi trường, lan tỏa lối sống thân thiện với môi trường.",,
BS6021_CLO1,CLO1,"Trình bày được các khái niệm cơ bản về môi trường, mối quan hệ giữa con người, hệ sinh thái và các dạng tài nguyên thiên nhiên (đất, nước, năng lượng, khoáng sản, rừng và sinh vật).",,
