mucTieu_id,loai_muc_tieu,ma_muc_tieu,noi_dung
BM6001_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên những kiến thức cơ bản về kinh tế học vi mô và vĩ mô, bao gồm sự khan hiếm nguồn lực, lý thuyết cung - cầu, hành vi của người tiêu dùng và người sản xuất, lý thuyết chi phí, cũng như các vấn đề vĩ mô cơ bản như GDP, GNP, lạm phát và thất nghiệp."
BM6001_G2,KY_NANG,G2,"Rèn luyện năng lực vận dụng các lý thuyết kinh tế học cơ bản để phân tích, giải thích tác động của các biến động kinh tế đến hoạt động sản xuất kinh doanh và nhận thức được tầm quan trọng của việc sử dụng hiệu quả nguồn lực khan hiếm."
BM6001_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BM6091_G1,KIEN_THUC,G1,"Trang bị cho sinh viên kiến thức toàn diện về dự án, các mô hình tổ chức, công cụ và phương pháp quản lý thời gian, tiến độ, nguồn lực, chi phí và chất lượng dự án."
BM6091_G2,KY_NANG,G2,"Phát triển kỹ năng sử dụng các công cụ kỹ thuật (mạng công việc, PERT, GANTT) và phương pháp phân tích, lập kế hoạch, kiểm soát nhằm quản lý dự án hiệu quả trong giới hạn thời gian và nguồn lực."
BM6091_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6001_G1,KIEN_THUC,G1,Trang bị cho sinh viên các kiến thức cơ bản và phương pháp giải các bài toán cốt lõi của Đại số tuyến tính.
BS6001_G2,KIEN_THUC,G2,"Phát triển khả năng nhận dạng, phân loại và vận dụng linh hoạt kiến thức Đại số tuyến tính để giải quyết các bài tập và vấn đề liên quan."
BS6001_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6018_G1,KIEN_THUC,G1,"Trình bày và phân tích được các cơ sở lý luận chung về giao tiếp, truyền thông, phong cách giao tiếp và các đặc điểm giao tiếp trong môi trường làm việc đa văn hóa."
BS6018_G2,KY_NANG,G2,"Vận dụng thành thạo các kỹ năng giao tiếp cơ bản như lắng nghe, đặt câu hỏi, giải quyết xung đột, viết báo cáo và diễn thuyết để thiết lập quan hệ hiệu quả với đồng nghiệp và đối tác khác biệt về văn hóa."
BS6018_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6019_G1,KIEN_THUC,G1,"Trang bị cho sinh viên hệ thống kiến thức nền tảng về phương pháp luận, quy trình nghiên cứu khoa học, các phương pháp nghiên cứu định tính và định lượng, cũng như cách thức xử lý dữ liệu và trình bày kết quả nghiên cứu."
BS6019_G2,KY_NANG,G2,"Phát triển kỹ năng thực hành xây dựng đề cương, thu thập và xử lý dữ liệu, viết báo cáo và thuyết trình kết quả nghiên cứu, phục vụ cho việc thực hiện tiểu luận, bài tập lớn và khóa luận tốt nghiệp."
BS6019_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6020_G1,KIEN_THUC,G1,"Cung cấp kiến thức nền tảng và có hệ thống về lý luận và thực tiễn quan hệ lao động, vai trò của các chủ thể, các nhân tố ảnh hưởng, cũng như các vấn đề về việc làm và giải quyết việc làm tại Việt Nam và trên thế giới."
BS6020_G2,KY_NANG,G2,"Trang bị kỹ năng thực tế về hợp đồng lao động, đối thoại xã hội, thương lượng tập thể và quy trình phỏng vấn xin việc, giúp sinh viên tự tin tham gia thị trường lao động sau khi tốt nghiệp."
BS6020_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6021_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên cơ sở lý luận chung về mối quan hệ biện chứng giữa con người và môi trường, các hệ sinh thái, tình hình sử dụng tài nguyên thiên nhiên và các vấn đề ô nhiễm môi trường hiện nay."
BS6021_G2,KY_NANG,G2,"Trang bị cho sinh viên các phương pháp, biện pháp cơ bản để bảo vệ môi trường, bảo tồn tài nguyên và tiếp cận hướng phát triển bền vững trong cuộc sống và công việc."
BS6021_G3,NANG_LUC_TU_CHU,G3,"Nâng cao ý thức trách nhiệm, thái độ tích cực của sinh viên đối với công tác bảo vệ môi trường và bảo tồn tài nguyên thiên nhiên trong hiện tại và tương lai."
BS6021_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6038_G1,KIEN_THUC,G1,Cung cấp cho sinh viên các kiến thức cơ bản và khả năng giải quyết các bài toán cơ bản cũng như các mô hình ứng dụng của Giải tích trong khoa học kỹ thuật.
BS6038_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6042_G1,KIEN_THUC,G1,"Trang bị cho sinh viên các kiến thức nền tảng và nâng cao về đại lượng ngẫu nhiên, véc tơ ngẫu nhiên, các phân phối xác suất và khả năng vận dụng để giải quyết các bài toán tính toán cơ bản cũng như các bài toán thực tế, chuyên ngành."
BS6042_G2,KIEN_THUC,G2,"Phát triển kỹ năng nhận dạng, phân loại và vận dụng linh hoạt các kiến thức xác suất thống kê để giải quyết các bài tập và vấn đề liên quan."
BS6042_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6050_G1,KIEN_THUC,G1,"Trang bị kiến thức đại cương về lịch sử âm nhạc thế giới và Việt Nam, hệ thống lý thuyết âm nhạc cơ bản và các thể loại âm nhạc."
BS6050_G2,KY_NANG,G2,"Phát triển kỹ năng đọc bản nhạc, cảm thụ âm nhạc, thực hành chơi nhạc cụ cơ bản và kỹ năng làm việc nhóm để hội nhập trong môi trường làm việc."
BS6050_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6051_G1,KIEN_THUC,G1,"Cung cấp cho người học những kiến thức cơ bản về nghệ thuật học, bao gồm khái niệm, nguồn gốc, vai trò, chức năng, hình tượng nghệ thuật, nội dung - hình thức và đặc trưng ngôn ngữ của các loại hình nghệ thuật tiêu biểu."
BS6051_G2,KY_NANG,G2,"Rèn luyện kỹ năng phân tích, cảm thụ và thưởng thức các tác phẩm nghệ thuật, từ đó nâng cao năng lực thẩm mỹ và vận dụng vào công tác giáo dục thẩm mỹ."
BS6051_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6052_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên kiến thức nền tảng về khái niệm, lịch sử mỹ thuật, ngôn ngữ tạo hình (hội họa, điêu khắc, đồ họa) và các nguyên tắc thiết kế tạo dáng công nghiệp."
BS6052_G2,KY_NANG,G2,"Rèn luyện kỹ năng ứng dụng các yếu tố tạo hình, hiệu ứng thị giác và thiết kế đồ họa vào việc tạo ra các sản phẩm công nghiệp có tính thẩm mỹ và đáp ứng nhu cầu thực tiễn của đời sống."
BS6052_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
BS6054_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên kiến thức cơ bản về Cơ học (chất điểm, hệ chất điểm, vật rắn) và Điện - Từ học (trường tĩnh điện, dòng điện không đổi, từ trường, cảm ứng điện từ và trường điện từ)."
BS6054_G2,KY_NANG,G2,"Rèn luyện kỹ năng thực nghiệm, sử dụng dụng cụ đo lường, xử lý số liệu thí nghiệm và tính toán sai số, làm nền tảng cho các học phần kỹ thuật."
BS6054_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
IT6202_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên các kiến thức nền tảng và toàn diện về kiến trúc máy tính, bao gồm kiến trúc tập lệnh, phần cứng, hệ thống nhập xuất, cấu trúc bộ nhớ, kỹ thuật đường ống và tập lệnh thu gọn."
IT6202_G2,KY_NANG,G2,"Phát triển kỹ năng phân tích, đánh giá và giải quyết các vấn đề liên quan đến thiết kế và tối ưu hóa hiệu năng hệ thống phần cứng và phần mềm ở mức cơ sở."
IT6202_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
