group_id,ten_nhom,loai_nhom
7480104_I_1,I_1,BAT_BUOC
7480104_I_2_KIEN_THUC_BAT_BUOC,I_2_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480104_I_2_TCKHTN,I_2_TCKHTN,TU_CHON
7480104_I_3_KIEN_THUC_BAT_BUOC,I_3_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480104_I_3_TCKHXH1,I_3_TCKHXH1,TU_CHON
7480104_I_3_TCKHXH2,I_3_TCKHXH2,TU_CHON
7480104_I_4_TCNN1,I_4_TCNN1,TU_CHON
7480104_I_4_TCNN2,I_4_TCNN2,TU_CHON
7480104_I_4_TCNN3,I_4_TCNN3,TU_CHON
7480104_I_4_TCNN4,I_4_TCNN4,TU_CHON
7480104_I_4_TCNN5,I_4_TCNN5,TU_CHON
7480104_II_1,II_1,BAT_BUOC
7480104_II_2,II_2,BAT_BUOC
7480104_II_3_KIEN_THUC_BAT_BUOC,II_3_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480104_II_3_TC8,II_3_TC8,TU_CHON
7480104_II_3_TC9,II_3_TC9,TU_CHON
7480104_II_4_KIEN_THUC_BAT_BUOC,II_4_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480104_II_4_TC10_A,II_4_TC10_A,TU_CHON
7480104_II_4_TC10_B,II_4_TC10_B,TU_CHON
7480104_II_5,II_5,BAT_BUOC
7480104_II_6,II_6,BAT_BUOC
7480104_II_7,II_7,BAT_BUOC
7480104_III_1_TCGDTC,III_1_TCGDTC,TU_CHON
7480104_III_2,III_2,BAT_BUOC
7480104_III_3_TCNNNK1,III_3_TCNNNK1,TU_CHON
7480104_III_3_TCNNNK2,III_3_TCNNNK2,TU_CHON
7480104_III_3_TCNNNK3,III_3_TCNNNK3,TU_CHON
7480104_III_3_TCNNNK4,III_3_TCNNNK4,TU_CHON
7480104_III_3_TCNNNK5,III_3_TCNNNK5,TU_CHON
7480201_I_1,I_1,BAT_BUOC
7480201_I_2_KIEN_THUC_BAT_BUOC,I_2_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480201_I_2_TCKHTN,I_2_TCKHTN,TU_CHON
7480201_I_3_KIEN_THUC_BAT_BUOC,I_3_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480201_I_3_TCKHXH1,I_3_TCKHXH1,TU_CHON
7480201_I_3_TCKHXH2,I_3_TCKHXH2,TU_CHON
7480201_I_4_TCNN1,I_4_TCNN1,TU_CHON
7480201_I_4_TCNN2,I_4_TCNN2,TU_CHON
7480201_I_4_TCNN3,I_4_TCNN3,TU_CHON
7480201_I_4_TCNN4,I_4_TCNN4,TU_CHON
7480201_I_4_TCNN5,I_4_TCNN5,TU_CHON
7480201_II_1,II_1,BAT_BUOC
7480201_II_2,II_2,BAT_BUOC
7480201_II_3_KIEN_THUC_BAT_BUOC,II_3_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480201_II_3_TCCSN,II_3_TCCSN,TU_CHON
7480201_II_4_KIEN_THUC_BAT_BUOC,II_4_KIEN_THUC_BAT_BUOC,BAT_BUOC
7480201_II_4_TCCNN1,II_4_TCCNN1,TU_CHON
7480201_II_4_TCCNN2,II_4_TCCNN2,TU_CHON
7480201_II_4_TCCNN3,II_4_TCCNN3,TU_CHON
7480201_II_4_TCCNN4,II_4_TCCNN4,TU_CHON
7480201_II_5,II_5,BAT_BUOC
7480201_II_6,II_6,BAT_BUOC
7480201_II_7,II_7,BAT_BUOC
7480201_III_1_TCGDTC,III_1_TCGDTC,TU_CHON
7480201_III_2,III_2,BAT_BUOC
7480201_III_3_TCNNNK1,III_3_TCNNNK1,TU_CHON
7480201_III_3_TCNNNK2,III_3_TCNNNK2,TU_CHON
7480201_III_3_TCNNNK3,III_3_TCNNNK3,TU_CHON
7480201_III_3_TCNNNK4,III_3_TCNNNK4,TU_CHON
7480201_III_3_TCNNNK5,III_3_TCNNNK5,TU_CHON
