source_id,target_id,type
BM6001,BM6001_G1,CO_MUC_TIEU
BM6001,BM6001_G2,CO_MUC_TIEU
BM6001,BM6001_G1,CO_MUC_TIEU
BM6091,BM6091_G1,CO_MUC_TIEU
BM6091,BM6091_G2,CO_MUC_TIEU
BM6091,BM6091_G1,CO_MUC_TIEU
BS6001,BS6001_G1,CO_MUC_TIEU
BS6001,BS6001_G2,CO_MUC_TIEU
BS6001,BS6001_G1,CO_MUC_TIEU
BS6018,BS6018_G1,CO_MUC_TIEU
BS6018,BS6018_G2,CO_MUC_TIEU
BS6018,BS6018_G1,CO_MUC_TIEU
BS6019,BS6019_G1,CO_MUC_TIEU
BS6019,BS6019_G2,CO_MUC_TIEU
BS6019,BS6019_G1,CO_MUC_TIEU
BS6020,BS6020_G1,CO_MUC_TIEU
BS6020,BS6020_G2,CO_MUC_TIEU
BS6020,BS6020_G1,CO_MUC_TIEU
BS6021,BS6021_G1,CO_MUC_TIEU
BS6021,BS6021_G2,CO_MUC_TIEU
BS6021,BS6021_G3,CO_MUC_TIEU
BS6021,BS6021_G1,CO_MUC_TIEU
BS6038,BS6038_G1,CO_MUC_TIEU
BS6038,BS6038_G1,CO_MUC_TIEU
BS6042,BS6042_G1,CO_MUC_TIEU
BS6042,BS6042_G2,CO_MUC_TIEU
BS6042,BS6042_G1,CO_MUC_TIEU
BS6050,BS6050_G1,CO_MUC_TIEU
BS6050,BS6050_G2,CO_MUC_TIEU
BS6050,BS6050_G1,CO_MUC_TIEU
BS6051,BS6051_G1,CO_MUC_TIEU
BS6051,BS6051_G2,CO_MUC_TIEU
BS6051,BS6051_G1,CO_MUC_TIEU
BS6052,BS6052_G1,CO_MUC_TIEU
BS6052,BS6052_G2,CO_MUC_TIEU
BS6052,BS6052_G1,CO_MUC_TIEU
BS6054,BS6054_G1,CO_MUC_TIEU
BS6054,BS6054_G2,CO_MUC_TIEU
BS6054,BS6054_G1,CO_MUC_TIEU
IT6202,IT6202_G1,CO_MUC_TIEU
IT6202,IT6202_G2,CO_MUC_TIEU
IT6202,IT6202_G1,CO_MUC_TIEU
IT6203,IT6203_G1,CO_MUC_TIEU
IT6203,IT6203_G2,CO_MUC_TIEU
IT6203,IT6203_G1,CO_MUC_TIEU
IT6204,IT6204_G1,CO_MUC_TIEU
IT6204,IT6204_G1,CO_MUC_TIEU
IT6204,IT6204_G2,CO_MUC_TIEU
IT6204,IT6204_G3,CO_MUC_TIEU
IT6205,IT6205_G1,CO_MUC_TIEU
IT6205,IT6205_G2,CO_MUC_TIEU
IT6205,IT6205_G3,CO_MUC_TIEU
IT6205,IT6205_G1,CO_MUC_TIEU
IT6205,IT6205_G2,CO_MUC_TIEU
IT6205,IT6205_G3,CO_MUC_TIEU
IT6206,IT6206_G1,CO_MUC_TIEU
IT6206,IT6206_G2,CO_MUC_TIEU
IT6206,IT6206_G3,CO_MUC_TIEU
IT6206,IT6206_G1,CO_MUC_TIEU
IT6206,IT6206_G2,CO_MUC_TIEU
IT6206,IT6206_G3,CO_MUC_TIEU
IT6208,IT6208_G1,CO_MUC_TIEU
IT6208,IT6208_G1,CO_MUC_TIEU
IT6217,IT6217_G1,CO_MUC_TIEU
IT6217,IT6217_G1,CO_MUC_TIEU
LP6010,LP6010_G1,CO_MUC_TIEU
LP6010,LP6010_G2,CO_MUC_TIEU
LP6010,LP6010_G1,CO_MUC_TIEU
LP6021,LP6021_G1,CO_MUC_TIEU
LP6021,LP6021_G2,CO_MUC_TIEU
LP6021,LP6021_G1,CO_MUC_TIEU
LP6022,LP6022_G1,CO_MUC_TIEU
LP6022,LP6022_G2,CO_MUC_TIEU
LP6022,LP6022_G1,CO_MUC_TIEU
LP6025,LP6025_G1,CO_MUC_TIEU
LP6025,LP6025_G2,CO_MUC_TIEU
LP6025,LP6025_G1,CO_MUC_TIEU
LP6026,LP6026_G1,CO_MUC_TIEU
LP6026,LP6026_G2,CO_MUC_TIEU
LP6026,LP6026_G1,CO_MUC_TIEU
LP6027,LP6027_G1,CO_MUC_TIEU
LP6027,LP6027_G2,CO_MUC_TIEU
LP6027,LP6027_G1,CO_MUC_TIEU
SC6013,SC6013_G1,CO_MUC_TIEU
SC6013,SC6013_G2,CO_MUC_TIEU
SC6013,SC6013_G1,CO_MUC_TIEU
SC6013,SC6013_G2,CO_MUC_TIEU
SC6016,SC6016_G1,CO_MUC_TIEU
SC6016,SC6016_G2,CO_MUC_TIEU
SC6016,SC6016_G3,CO_MUC_TIEU
SC6016,SC6016_G1,CO_MUC_TIEU
SC6016,SC6016_G2,CO_MUC_TIEU
SC6016,SC6016_G3,CO_MUC_TIEU
SC6019,SC6019_MT1,CO_MUC_TIEU
SC6019,SC6019_MT2,CO_MUC_TIEU
SC6019,SC6019_MT3,CO_MUC_TIEU
SC6019,SC6019_MT4,CO_MUC_TIEU
SC6019,SC6019_MT1,CO_MUC_TIEU
SC6019,SC6019_MT2,CO_MUC_TIEU
SC6019,SC6019_MT3,CO_MUC_TIEU
SC6019,SC6019_MT4,CO_MUC_TIEU
SC6205,SC6205_G1,CO_MUC_TIEU
SC6205,SC6205_G2,CO_MUC_TIEU
SC6205,SC6205_G3,CO_MUC_TIEU
SC6205,SC6205_G1,CO_MUC_TIEU
SC6205,SC6205_G2,CO_MUC_TIEU
SC6205,SC6205_G3,CO_MUC_TIEU
SC6208,SC6208_G1,CO_MUC_TIEU
SC6208,SC6208_G2,CO_MUC_TIEU
SC6208,SC6208_G1,CO_MUC_TIEU
SC6212,SC6212_4.1,CO_MUC_TIEU
SC6212,SC6212_4.2,CO_MUC_TIEU
SC6212,SC6212_4.1,CO_MUC_TIEU
SC6212,SC6212_4.2,CO_MUC_TIEU
SC6213,SC6213_G1,CO_MUC_TIEU
SC6213,SC6213_G2,CO_MUC_TIEU
SC6213,SC6213_G3,CO_MUC_TIEU
SC6213,SC6213_G1,CO_MUC_TIEU
SC6213,SC6213_G2,CO_MUC_TIEU
SC6213,SC6213_G3,CO_MUC_TIEU
SC6214,SC6214_G1,CO_MUC_TIEU
SC6214,SC6214_G2,CO_MUC_TIEU
SC6214,SC6214_G3,CO_MUC_TIEU
SC6214,SC6214_G4,CO_MUC_TIEU
SC6214,SC6214_G1,CO_MUC_TIEU
SC6214,SC6214_G2,CO_MUC_TIEU
SC6214,SC6214_G3,CO_MUC_TIEU
SC6214,SC6214_G4,CO_MUC_TIEU
SC6218,SC6218_G1,CO_MUC_TIEU
SC6218,SC6218_G2,CO_MUC_TIEU
SC6218,SC6218_G3,CO_MUC_TIEU
SC6218,SC6218_G1,CO_MUC_TIEU
SC6218,SC6218_G2,CO_MUC_TIEU
SC6218,SC6218_G3,CO_MUC_TIEU
SC6222,SC6222_G1,CO_MUC_TIEU
SC6222,SC6222_G2,CO_MUC_TIEU
SC6222,SC6222_G1,CO_MUC_TIEU
SC6224,SC6224_G1,CO_MUC_TIEU
SC6224,SC6224_G2,CO_MUC_TIEU
SC6224,SC6224_G3,CO_MUC_TIEU
SC6224,SC6224_G1,CO_MUC_TIEU
SC6224,SC6224_G2,CO_MUC_TIEU
SC6224,SC6224_G3,CO_MUC_TIEU
SC6232,SC6232_G1,CO_MUC_TIEU
SC6232,SC6232_G2,CO_MUC_TIEU
SC6232,SC6232_G3,CO_MUC_TIEU
SC6232,SC6232_G1,CO_MUC_TIEU
SC6232,SC6232_G2,CO_MUC_TIEU
SC6232,SC6232_G3,CO_MUC_TIEU
SC6241,SC6241_G1,CO_MUC_TIEU
SC6241,SC6241_G2,CO_MUC_TIEU
SC6241,SC6241_G1,CO_MUC_TIEU
SC6241,SC6241_G2,CO_MUC_TIEU
SC6260,SC6260_G1,CO_MUC_TIEU
SC6260,SC6260_G2,CO_MUC_TIEU
SC6260,SC6260_G3,CO_MUC_TIEU
SC6260,SC6260_G1,CO_MUC_TIEU
SC6260,SC6260_G2,CO_MUC_TIEU
SC6260,SC6260_G3,CO_MUC_TIEU
SC6262,SC6262_G1,CO_MUC_TIEU
SC6262,SC6262_G2,CO_MUC_TIEU
SC6262,SC6262_G3,CO_MUC_TIEU
SC6262,SC6262_G1,CO_MUC_TIEU
SC6262,SC6262_G2,CO_MUC_TIEU
SC6262,SC6262_G3,CO_MUC_TIEU
