source_id,target_id,type,evidence_ids,retrieval_score,validation_confidence
BS6002,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.6163,
BS6002,http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9,SUPPORTS_SKILL,,0.6134,
BS6018,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.5216,
BS6019,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.8098,
BS6019,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930,SUPPORTS_SKILL,,0.7016,
BS6021,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.6711,
IT6204,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.577,
IT6205,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.5523,
IT6206,http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9,SUPPORTS_SKILL,,0.618,
IT6206,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.6125,
IT6208,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.6794,
IT6217,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.6231,
IT6217,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930,SUPPORTS_SKILL,,0.5372,
SC6013,http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9,SUPPORTS_SKILL,,0.7573,
SC6019,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,SUPPORTS_SKILL,,0.6601,
SC6200,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,SUPPORTS_SKILL,,0.7187,
SC6202,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,SUPPORTS_SKILL,,0.7699,
SC6206,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.657,
SC6208,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.8274,
SC6210,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.7184,
SC6210,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,SUPPORTS_SKILL,,0.6031,
SC6211,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.732,
SC6212,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.7708,
SC6214,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.7318,
SC6218,http://data.europa.eu/esco/skill/4d30ad07-9e39-4899-81dd-02b280f162f9,SUPPORTS_SKILL,,0.8211,
SC6218,http://data.europa.eu/esco/skill/385479b7-5da5-4367-9763-0d15b41bb65b,SUPPORTS_SKILL,,0.6315,
SC6220,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,SUPPORTS_SKILL,,0.6746,
SC6234,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.5875,
SC6236,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,SUPPORTS_SKILL,,0.5982,
SC6240,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.5907,
SC6244,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,SUPPORTS_SKILL,,0.6501,
SC6260,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.65,
SC6265,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,SUPPORTS_SKILL,,0.6554,
SC6265,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,SUPPORTS_SKILL,,0.6352,
SC6266,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,SUPPORTS_SKILL,,0.5484,
