source_id,target_id,type
LP6010,7480104_I_1,THUOC_NHOM
LP6025,7480104_I_1,THUOC_NHOM
LP6026,7480104_I_1,THUOC_NHOM
LP6022,7480104_I_1,THUOC_NHOM
LP6027,7480104_I_1,THUOC_NHOM
LP6021,7480104_I_1,THUOC_NHOM
BS6001,7480104_I_2_KIEN_THUC_BAT_BUOC,THUOC_NHOM
BS6038,7480104_I_2_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6223,7480104_I_2_KIEN_THUC_BAT_BUOC,THUOC_NHOM
BS6054,7480104_I_2_KIEN_THUC_BAT_BUOC,THUOC_NHOM
BS6042,7480104_I_2_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6221,7480104_I_2_TCKHTN,THUOC_NHOM
SC6202,7480104_I_2_TCKHTN,THUOC_NHOM
BS6018,7480104_I_3_KIEN_THUC_BAT_BUOC,THUOC_NHOM
BS6021,7480104_I_3_TCKHXH1,THUOC_NHOM
BM6001,7480104_I_3_TCKHXH1,THUOC_NHOM
BS6019,7480104_I_3_TCKHXH1,THUOC_NHOM
BS6020,7480104_I_3_TCKHXH1,THUOC_NHOM
BM6091,7480104_I_3_TCKHXH1,THUOC_NHOM
BS6050,7480104_I_3_TCKHXH2,THUOC_NHOM
BS6052,7480104_I_3_TCKHXH2,THUOC_NHOM
BS6051,7480104_I_3_TCKHXH2,THUOC_NHOM
SL6343,7480104_I_4_TCNN1,THUOC_NHOM
SL6344,7480104_I_4_TCNN1,THUOC_NHOM
SL6347,7480104_I_4_TCNN2,THUOC_NHOM
SL6348,7480104_I_4_TCNN2,THUOC_NHOM
SL6349,7480104_I_4_TCNN3,THUOC_NHOM
SL6350,7480104_I_4_TCNN3,THUOC_NHOM
SL6351,7480104_I_4_TCNN4,THUOC_NHOM
SL6352,7480104_I_4_TCNN4,THUOC_NHOM
FL6582,7480104_I_4_TCNN5,THUOC_NHOM
FL6583,7480104_I_4_TCNN5,THUOC_NHOM
IT6217,7480104_II_1,THUOC_NHOM
IT6202,7480104_II_1,THUOC_NHOM
SC6208,7480104_II_1,THUOC_NHOM
SC6205,7480104_II_1,THUOC_NHOM
IT6203,7480104_II_1,THUOC_NHOM
SC6206,7480104_II_2,THUOC_NHOM
SC6211,7480104_II_2,THUOC_NHOM
SC6224,7480104_II_2,THUOC_NHOM
IT6204,7480104_II_2,THUOC_NHOM
SC6244,7480104_II_2,THUOC_NHOM
SC6240,7480104_II_2,THUOC_NHOM
SC6200,7480104_II_2,THUOC_NHOM
IT6218,7480104_II_3_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6239,7480104_II_3_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6014,7480104_II_3_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6241,7480104_II_3_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6019,7480104_II_3_TC8,THUOC_NHOM
SC6220,7480104_II_3_TC8,THUOC_NHOM
SC6210,7480104_II_3_TC9,THUOC_NHOM
SC6212,7480104_II_3_TC9,THUOC_NHOM
SC6265,7480104_II_3_TC9,THUOC_NHOM
SC6215,7480104_II_3_TC9,THUOC_NHOM
SC6229,7480104_II_4_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6267,7480104_II_4_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6228,7480104_II_4_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6013,7480104_II_4_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6222,7480104_II_4_KIEN_THUC_BAT_BUOC,THUOC_NHOM
SC6236,7480104_II_4_TC10_A,THUOC_NHOM
SC6237,7480104_II_4_TC10_A,THUOC_NHOM
SC6268,7480104_II_4_TC10_A,THUOC_NHOM
SC6213,7480104_II_4_TC10_B,THUOC_NHOM
SC6262,7480104_II_4_TC10_B,THUOC_NHOM
